No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
15,6,KF2EDGR-3.5-3P,"CN2,CN3,CN5,CN8,CN10,CN11",CONN-TH_3P-P3.50_KF2EDGR-3.5-3P,,KF2EDGR-3.5-3P,KEFA(科发),C441172,LCSC
16,1,KF2EDGR-3.5-4P,CN4,CONN-TH_4P-P3.50_KF2EDGR-3.5-4P,,KF2EDGR-3.5-4P,KEFA(科发),C441173,LCSC
17,2,B4B-PH-K-S(LF)(SN),"CN6,CN7",CONN-TH_B4B-PH-K-S,,B4B-PH-K-S(LF)(SN),JST,C131334,LCSC
18,1,B5P-VH(LF)(SN),CN9,CONN-TH_B5P-VH-LF-SN,,B5P-VH(LF)(SN),JST,C160318,LCSC
19,1,KF2EDGR-3.5-2P,CN12,CONN-TH_P3.50_KF2EDGR-3.5-2P,,KF2EDGR-3.5-2P,KEFA(科发),C441171,LCSC
20,1,KF2EDGR-3.81-3P,CN13,CONN-TH_3P-P3.81_KF2EDGR-3.81-3P,,KF2EDGR-3.81-3P,KEFA(科发),C441183,LCSC
21,1,B2B-PH-K-S(LF)(SN),CN14,CONN-TH_B2B-PH-K-S,,B2B-PH-K-S(LF)(SN),JST,C131337,LCSC
22,1,SMBJ33CA-13-F,D1,SMB_L4.6-W3.6-LS5.3-BI,,SMBJ33CA-13-F,DIODES(美台),C135068,LCSC
23,2,SS34,"D3,D8",SMA_L4.3-W2.6-LS5.1-RD,,SS34,Hangyu(航昱微),C52023881,LCSC
24,3,SM712-02HTG,"D4,D5,D6",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,,SM712-02HTG,Littelfuse(美国力特),C172881,LCSC
25,1,SZNUP2105LT1G,D7,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,SZNUP2105LT1G,onsemi(安森美),C233494,LCSC
26,1,PESD3V3L1BA,D9,SOD-323_L1.7-W1.3-LS2.5-BI,,PESD3V3L1BA,R+O(宏嘉诚),C54334012,LCSC
27,1,BAT54C,D11,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,BAT54C,YONGYUTAI(永裕泰),C51042522,LCSC
28,8,"BAT54S,215","D12,D13,D15,D16,D20,D21,D22,D23",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,,"BAT54S,215",Nexperia(安世),C47546,LCSC
29,3,"PESD5V0U2BT,215","D14,D31,D32",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,,"PESD5V0U2BT,215",Nexperia(安世),C85399,LCSC
30,6,SMAJ5.0A-13-F,"D17,D18,D19,D25,D26,D30",SMA_L4.3-W2.6-LS5.2-RD,,SMAJ5.0A-13-F,DIODES(美台),C87074,LCSC
31,1,"PESD5V0S1UB,115",D24,SOD-523F_L1.2-W0.8-LS1.7-RD,,"PESD5V0S1UB,115",Nexperia(安世),C85390,LCSC
32,1,SS310,D27,SMA_L4.3-W2.6-LS5.0-FD,,SS310,R+O(宏嘉诚),C7420364,LCSC
33,1,SS14,D28,SMA-SMD_L4.4-W2.7-LS5.4-RD,,SS14,Hangyu(航昱微),C52023869,LCSC
34,1,SMAJ26A-13-F,D29,SMA_L4.4-W2.6-LS5.0-RD,,SMAJ26A-13-F,DIODES(美台),C134975,LCSC
35,1,RXEF250,F1,FUSE-TH_L20.8-W3.0-P10.15-D0.6-S2.10,,RXEF250,Littelfuse(美国力特),C2760162,LCSC
36,1,PZ254V-11-06P,H1,HDR-TH_6P-P2.54-V-M,,PZ254V-11-06P,XFCN(兴飞),C492405,LCSC
37,1,PZ254V-11-03P,H2,HDR-TH_3P-P2.54-V-M_PZ254V-11-03P,,PZ254V-11-03P,XFCN(兴飞),C2937625,LCSC
38,4,PZ254V-11-02P,"JP1,JP2,JP3,JP4",HDR-TH_2P-P2.54-V-M,,PZ254V-11-02P,XFCN(兴飞),C492401,LCSC
39,3,15uH,"L1,L2,L4",IND-SMD_L7.1-W6.5,15uH,SPM6530T-150M-HZ,TDK,C307809,LCSC
40,1,47uH,L3,IND-SMD_L7.5-W7.0_SPM7054VT-330M-D,47uH,SPM7054VT-470M-D,TDK,C3223488,LCSC
41,5,KT-0805G,"LED1,LED2,LED3,LED4,LED6",LED0805-R-RD,,KT-0805G,KENTO,C2297,LCSC
42,1,KT-0805R,LED5,LED0805-R-RD,,KT-0805R,KENTO,C2295,LCSC
43,1,IRLML0060TRPBF,Q1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,,IRLML0060TRPBF,Infineon(英飞凌),C67274,LCSC
44,1,52.3kΩ,R2,R0805,52.3kΩ,0805W8F5232T5E,UNI-ROYAL(厚声),C17740,LCSC
45,10,10kΩ,"R3,R4,R17,R32,R33,R37,R38,R43,R45,R55",R0805,10kΩ,0805W8F1002T5E,UNI-ROYAL(厚声),C38522,LCSC
46,2,330kΩ,"R5,R39",R0805,330kΩ,0805W8F3303T5E,UNI-ROYAL(厚声),C17629,LCSC
47,2,51.1kΩ,"R6,R40",R0805,51.1kΩ,0805W8F5112T5E,UNI-ROYAL(厚声),C17731,LCSC
48,4,120Ω,"R7,R9,R11,R13",R0805,120Ω,0805W8F1200T5E,UNI-ROYAL(厚声),C17437,LCSC
49,11,10kΩ,"R8,R10,R12,R47,R74,R75,R77,R79,R83,R86,R89",R0805,10kΩ,0805W8F1002T5E,UNI-ROYAL(厚声),C17414,LCSC
50,7,4.7kΩ,"R16,R30,R31,R65,R66,R71,R72",R0805,4.7kΩ,0805W8F4701T5E,UNI-ROYAL(厚声),C17673,LCSC
51,3,3.3kΩ,"R34,R35,R48",R0805,3.3kΩ,0805W8F3301T5E,UNI-ROYAL(厚声),C26010,LCSC
52,1,31.6kΩ,R36,R0805,31.6kΩ,0805W8F3162T5E,UNI-ROYAL(厚声),C17623,LCSC
53,1,330Ω,R41,R0805,330Ω,0805W8F3300T5E,UNI-ROYAL(厚声),C17630,LCSC
54,4,100kΩ,"R42,R44,R67,R81",R0805,100kΩ,0805W8F1003T5E,UNI-ROYAL(厚声),C149504,LCSC
55,1,150Ω,R46,R1206,150Ω,1206W4F1500T5E,UNI-ROYAL(厚声),C17917,LCSC
56,6,390Ω,"R49,R50,R51,R52,R53,R54",R0805,390Ω,0805W8F3900T5E,UNI-ROYAL(厚声),C17655,LCSC
57,3,47kΩ,"R56,R57,R58",R0805,47kΩ,0805W8F4702T5E,UNI-ROYAL(厚声),C17713,LCSC
58,10,1kΩ,"R59,R60,R61,R62,R63,R64,R68,R69,R70,R73",R0805,1kΩ,0805W8F1001T5E,UNI-ROYAL(厚声),C17513,LCSC
59,1,3.83kΩ,R76,R0805,3.83kΩ,0805W8F3831T5E,UNI-ROYAL(厚声),C27536,LCSC
60,1,82kΩ,R78,R0805,82kΩ,0805W8F8202T5E,UNI-ROYAL(厚声),C17840,LCSC
61,1,232kΩ,R80,R0805,232kΩ,0805W8F2323T5E,UNI-ROYAL(厚声),C17566,LCSC
62,1,8.2kΩ,R82,R0805,8.2kΩ,0805W8F8201T5E,UNI-ROYAL(厚声),C17828,LCSC
63,1,200kΩ,R84,R0805,200kΩ,0805W8F2003T5E,UNI-ROYAL(厚声),C17539,LCSC
64,1,140kΩ,R85,R0805,140kΩ,0805W8F1403T5E,UNI-ROYAL(厚声),C17460,LCSC
65,1,9.1kΩ,R87,R0805,9.1kΩ,0805W8F9101T5E,UNI-ROYAL(厚声),C17855,LCSC
66,1,180kΩ,R88,R0805,180kΩ,0805W8F1803T5E,UNI-ROYAL(厚声),C17501,LCSC
67,1,510mΩ,R90,R0805,510mΩ,0805W8F510LT5E,UNI-ROYAL(厚声),C247133,LCSC
68,1,TS-1088-AR02016,SW1,SW-SMD_L3.9-W3.0-P4.45,,TS-1088-AR02016,XUNPU(讯普),C720477,LCSC
69,2,TPS54331DR,"U1,U2",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,,TPS54331DR,TI(德州仪器),C9865,LCSC
70,3,MAX13487EESA+T,"U3,U4,U5",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,,MAX13487EESA+T,ADI(亚德诺)/MAXIM(美信),C18347,LCSC
71,1,TJA1051T/3/1J,U6,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,,TJA1051T/3/1J,NXP(恩智浦),C38695,LCSC
72,1,STM32G0B1RET6,U7,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,,STM32G0B1RET6,ST(意法半导体),C2829307,LCSC
73,1,2.4GHz,U8,WIRELM-SMD_ESP32-C6-WROOM-1,2.4GHz,ESP32-C6-WROOM-1-N8,ESPRESSIF(乐鑫),C5366877,LCSC
74,1,FM24W256-GTR,U9,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,,FM24W256-GTR,Infineon/CYPRESS(赛普拉斯),C66020,LCSC
75,1,W25Q128JVSIQ,U10,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,,W25Q128JVSIQ,Winbond(华邦),C97521,LCSC
76,1,TPS22918DBVR,U11,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,,TPS22918DBVR,TI(德州仪器),C131941,LCSC
77,1,TPS259631DDAR,U12,POWERPAD-SO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,,TPS259631DDAR,TI(德州仪器),C2155778,LCSC
78,2,TPS2553DBVR,"U13,U14",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,,TPS2553DBVR,TI(德州仪器),C55266,LCSC
79,1,LM74700QDBVRQ1,U15,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,LM74700QDBVRQ1,TI(德州仪器),C2941042,LCSC
80,1,TPS54360DDAR,U16,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0,,TPS54360DDAR,TI(德州仪器),C44377,LCSC
81,2,ISO7710DR,"U17,U18",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,,ISO7710DR,TI(德州仪器),C2869473,LCSC
82,1,TPS3839K33DBZR,U19,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,TPS3839K33DBZR,TI(德州仪器),C96333,LCSC
83,1,LM2733YMFX/NOPB,U20,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,,LM2733YMFX/NOPB,TI(德州仪器),C527399,LCSC
84,1,LM317LMX/NOPB,U21,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,,LM317LMX/NOPB,TI(德州仪器),C388285,LCSC
85,1,12MHz,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,12MHz,X322512MSB4SI,YXC(扬兴晶振),C9002,LCSC
86,1,32.768kHz,X2,CRYSTAL-SMD_L3.2-W1.5-1,32.768kHz,SC32S-7PF20PPM,Seiko(精工),C5452100,LCSC
,,,,,,,,,
